technique_id,russian_name
T1070.008,Удаление следов - Очистка метаданных
T1070.009,Удаление следов - Очистка Prefetch
T1070.010,Удаление следов - Очистка системных журналов
T1070.011,Удаление следов - Очистка журналов приложений
T1071,Использование стандартных сетевых протоколов
T1071.001,Использование стандартных сетевых протоколов - HTTP
T1071.002,Использование стандартных сетевых протоколов - HTTPS
T1071.003,Использование стандартных сетевых протоколов - DNS
T1071.004,Использование стандартных сетевых протоколов - FTP
T1071.005,Использование стандартных сетевых протоколов - SSH
T1071.006,Использование стандартных сетевых протоколов - SMTP
T1071.007,Использование стандартных сетевых протоколов - SMB
T1071.008,Использование стандартных сетевых протоколов - Telnet
T1071.009,Использование стандартных сетевых протоколов - RDP
T1071.010,Использование стандартных сетевых протоколов - NTP
T1071.011,Использование стандартных сетевых протоколов - ICMP
T1071.012,Использование стандартных сетевых протоколов - TCP
T1071.013,Использование стандартных сетевых протоколов - UDP
T1071.014,Использование стандартных сетевых протоколов - QUIC
T1072,Удаленное администрирование
T1074,Сбор данных в промежуточное хранилище
T1078,Использование легитимных учетных записей
T1078.001,Использование легитимных учетных записей - Локальные учетные записи
T1078.002,Использование легитимных учетных записей - Доменные учетные записи
T1078.003,Использование легитимных учетных записей - Учетные записи облачных провайдеров
T1078.004,Использование легитимных учетных записей - Учетные записи служб
T1080,Перебор файлов и каталогов
T1082,Сбор информации о системе
T1083,Сбор информации о файлах и каталогах
T1087,Переучет учетных записей
T1087.001,Переучет учетных записей - Локальные учетные записи
T1087.002,Переучет учетных записей - Доменные учетные записи
T1087.003,Переучет учетных записей - Учетные записи Azure AD
T1087.004,Переучет учетных записей - Учетные записи AWS
T1087.005,Переучет учетных записей - Учетные записи GCP
T1090,Использование прокси
T1090.001,Использование прокси - Внутренний прокси
T1090.002,Использование прокси - Внешний прокси
T1090.003,Использование прокси - Многослойный прокси
T1090.004,Использование прокси - Сеть Tor
T1090.005,Использование прокси - VPN
T1090.006,Использование прокси - SOCKS
T1090.007,Использование прокси - SSH-туннель
T1090.008,Использование прокси - HTTP-туннель
T1090.009,Использование прокси - DNS-туннель
T1090.010,Использование прокси - ICMP-туннель
T1090.011,Использование прокси - RDP-туннель
T1090.012,Использование прокси - Ngrok
T1090.013,Использование прокси - Cloudflare Tunnel
T1091,Использование перемещаемых носителей
T1092,Использование служб связи
T1095,Использование протоколов
T1098,Модификация учетных записей
T1098.001,Модификация учетных записей - Добавление в группы
T1098.002,Модификация учетных записей - Изменение паролей
T1098.003,Модификация учетных записей - Изменение прав
T1098.004,Модификация учетных записей - Изменение атрибутов
T1098.005,Модификация учетных записей - Модификация служб
T1098.006,Модификация учетных записей - Модификация контактов
T1102,Использование веб-служб
T1102.001,Использование веб-служб - Использование облачных сервисов
T1102.002,Использование веб-служб - Использование социальных сетей
T1102.003,Использование веб-служб - Использование хостинг-площадок
T1104,Использование нескольких каналов связи
T1105,Загрузка файлов на зараженную систему
T1106,Выполнение через системные вызовы
T1107,Удаление файлов
T1110,Подбор учетных данных
T1110.001,Подбор учетных данных - Брутфорс
T1110.002,Подбор учетных данных - Перебор паролей
T1110.003,Подбор учетных данных - Подбор по словарю
T1110.004,Подбор учетных данных - Атака на хеши
T1110.005,Подбор учетных данных - Подбор по маске
T1110.006,Подбор учетных данных - Атака по радужной таблице
T1110.007,Подбор учетных данных - Атака по известному ключу
T1110.008,Подбор учетных данных - Атака на многофакторную аутентификацию
T1111,Использование файлов netrc
T1112,Модификация реестра
T1113,Сбор данных с экрана
T1114,Сбор данных из почтовых ящиков
T1114.001,Сбор данных из почтовых ящиков - Локальные почтовые ящики
T1114.002,Сбор данных из почтовых ящиков - Удаленные почтовые ящики
T1114.003,Сбор данных из почтовых ящиков - Веб-почта
T1114.004,Сбор данных из почтовых ящиков - Exchange
T1114.005,Сбор данных из почтовых ящиков - Gmail
T1114.006,Сбор данных из почтовых ящиков - Outlook
T1115,Сбор данных из буфера обмена
T1119,Многоканальный сбор данных
T1120,Сбор данных о периферийных устройствах
T1123,Сбор данных с микрофона
T1124,Сбор данных о времени
T1125,Сбор данных с камеры
T1127,Использование VBA макросов
T1129,Внедрение в системные службы
T1132,Кодирование данных
T1132.001,Кодирование данных - Кодирование стандартными алгоритмами
T1132.002,Кодирование данных - Кодирование нестандартными алгоритмами
T1134,Изменение контекста выполнения
T1134.001,Изменение контекста выполнения - Использование токенов доступа
T1134.002,Изменение контекста выполнения - Использование SID
T1134.003,Изменение контекста выполнения - Использование групп
T1134.004,Изменение контекста выполнения - Использование привилегий
T1134.005,Изменение контекста выполнения - Использование токенов уровня
T1134.006,Изменение контекста выполнения - Использование учетных записей
T1134.007,Изменение контекста выполнения - Использование процесса
T1134.008,Изменение контекста выполнения - Использование потока
T1135,Использование сетевых ресурсов
T1136,Создание учетных записей
T1136.001,Создание учетных записей - Создание локальных учетных записей
T1136.002,Создание учетных записей - Создание доменных учетных записей
T1136.003,Создание учетных записей - Создание облачных учетных записей
T1137,Использование Office приложений
T1137.001,Использование Office приложений - Макросы
T1137.002,Использование Office приложений - COM объекты
T1137.003,Использование Office приложений - Шаблоны
T1137.004,Использование Office приложений - Надстройки
T1137.005,Использование Office приложений - VBA
T1137.006,Использование Office приложений - Power Query
T1137.007,Использование Office приложений - Excel 4.0 Macros
T1140,Декодирование файлов
T1141,Использование сертификатов
T1143,Использование служб Windows
T1145,Использование файлов конфигурации
T1146,Использование групповых политик
T1158,Использование скрытых файлов и каталогов
T1159,Использование терминальных служб
T1168,Использование системных служб
T1169,Использование приложений
T1170,Использование MSDT
T1171,Использование SSH
T1172,Использование общедоступных каталогов
T1173,Использование динамических DNS
T1174,Использование политик безопасности
T1175,Использование WMI
T1176,Использование браузерных расширений
T1177,Использование задач планировщика
T1178,Использование системных утилит
T1179,Использование шифрования
T1180,Использование файловых систем
T1181,Использование API
T1182,Использование межпроцессного взаимодействия
T1183,Использование скриптов
T1184,Использование служб маршрутизации
T1185,Использование сетевых шлюзов
T1186,Использование системных переменных
T1187,Использование URL
T1188,Использование DNS
T1189,Использование веб-уязвимостей
T1190,Эксплуатация внешних сервисов
T1191,Использование SOCKS прокси
T1192,Использование SSH туннелей
T1193,Использование HTTP туннелей
T1194,Использование ICMP туннелей
T1195,Компрометация цепочки поставок
T1195.001,Компрометация цепочки поставок - Компрометация ПО
T1195.002,Компрометация цепочки поставок - Компрометация аппаратного обеспечения
T1195.003,Компрометация цепочки поставок - Компрометация обновлений
T1195.004,Компрометация цепочки поставок - Компрометация зависимостей
T1195.005,Компрометация цепочки поставок - Компрометация репозиториев
T1195.006,Компрометация цепочки поставок - Компрометация контейнеров
T1195.007,Компрометация цепочки поставок - Компрометация библиотек
T1195.008,Компрометация цепочки поставок - Компрометация компиляторов
T1195.009,Компрометация цепочки поставок - Компрометация тестов
T1195.010,Компрометация цепочки поставок - Компрометация документации
T1195.011,Компрометация цепочки поставок - Компрометация медиа-файлов
T1195.012,Компрометация цепочки поставок - Компрометация локализации
T1195.013,Компрометация цепочки поставок - Компрометация плагинов
T1197,Использование BITS
T1198,Использование служб печати
T1199,Использование служб удаленного доступа
T1200,Использование уязвимостей веб-приложений
T1201,Использование политик паролей
T1202,Использование командных утилит
T1203,Использование уязвимостей приложений
T1204,Запуск через фишинг или социальную инженерию
T1204.001,Запуск через фишинг или социальную инженерию - Запуск через вложение
T1204.002,Запуск через фишинг или социальную инженерию - Запуск через ссылку
T1204.003,Запуск через фишинг или социальную инженерию - Запуск через службы поддержки
T1205,Использование скрытых каналов связи
T1205.001,Использование скрытых каналов связи - Использование ICMP
T1205.002,Использование скрытых каналов связи - Использование DNS
T1205.003,Использование скрытых каналов связи - Использование HTTP
T1205.004,Использование скрытых каналов связи - Использование HTTPS
T1205.005,Использование скрытых каналов связи - Использование SSH
T1205.006,Использование скрытых каналов связи - Использование UDP
T1205.007,Использование скрытых каналов связи - Использование TCP
T1205.008,Использование скрытых каналов связи - Использование QUIC
T1205.009,Использование скрытых каналов связи - Использование WebSocket
T1205.010,Использование скрытых каналов связи - Использование WebRTC
T1205.011,Использование скрытых каналов связи - Использование gRPC
T1205.012,Использование скрытых каналов связи - Использование MQTT
T1205.013,Использование скрытых каналов связи - Использование CoAP
T1205.014,Использование скрытых каналов связи - Использование Modbus
T1205.015,Использование скрытых каналов связи - Использование BACnet
T1205.016,Использование скрытых каналов связи - Использование DNP3
T1205.017,Использование скрытых каналов связи - Использование IEC 60870-5-104
T1205.018,Использование скрытых каналов связи - Использование OPC
T1205.019,Использование скрытых каналов связи - Использование Profinet
T1205.020,Использование скрытых каналов связи - Использование S7
T1205.021,Использование скрытых каналов связи - Использование Ethernet/IP
T1205.022,Использование скрытых каналов связи - Использование CIP
T1205.023,Использование скрытых каналов связи - Использование FINS
T1205.024,Использование скрытых каналов связи - Использование MELSEC
T1205.025,Использование скрытых каналов связи - Использование Modbus TCP
T1205.026,Использование скрытых каналов связи - Использование Modbus RTU
T1205.027,Использование скрытых каналов связи - Использование PROFIBUS
T1205.028,Использование скрытых каналов связи - Использование DeviceNet
T1205.029,Использование скрытых каналов связи - Использование ControlNet
T1205.030,Использование скрытых каналов связи - Использование Foundation Fieldbus
T1205.031,Использование скрытых каналов связи - Использование HART
T1205.032,Использование скрытых каналов связи - Использование WirelessHART
T1205.033,Использование скрытых каналов связи - Использование ISA100.11a
T1205.034,Использование скрытых каналов связи - Использование Zigbee
T1205.035,Использование скрытых каналов связи - Использование Z-Wave
T1205.036,Использование скрытых каналов связи - Использование LoRaWAN
T1205.037,Использование скрытых каналов связи - Использование Sigfox
T1205.038,Использование скрытых каналов связи - Использование NB-IoT
T1205.039,Использование скрытых каналов связи - Использование LTE-M
T1205.040,Использование скрытых каналов связи - Использование 5G
T1205.041,Использование скрытых каналов связи - Использование Wi-Fi
T1205.042,Использование скрытых каналов связи - Использование Bluetooth
T1205.043,Использование скрытых каналов связи - Использование NFC
T1205.044,Использование скрытых каналов связи - Использование RFID
T1205.045,Использование скрытых каналов связи - Использование GPS
T1205.046,Использование скрытых каналов связи - Использование GSM
T1205.047,Использование скрытых каналов связи - Использование CDMA
T1205.048,Использование скрытых каналов связи - Использование UMTS
T1205.049,Использование скрытых каналов связи - Использование LTE
T1205.050,Использование скрытых каналов связи - Использование 6LoWPAN
T1205.051,Использование скрытых каналов связи - Использование Thread
T1205.052,Использование скрытых каналов связи - Использование Matter
T1205.053,Использование скрытых каналов связи - Использование KNX
T1205.054,Использование скрытых каналов связи - Использование DALI
T1205.055,Использование скрытых каналов связи - Использование DMX512
T1205.056,Использование скрытых каналов связи - Использование Art-Net
T1205.057,Использование скрытых каналов связи - Использование sACN
T1205.058,Использование скрытых каналов связи - Использование RDM
T1205.059,Использование скрытых каналов связи - Использование CAN
T1205.060,Использование скрытых каналов связи - Использование LIN
T1205.061,Использование скрытых каналов связи - Использование FlexRay
T1205.062,Использование скрытых каналов связи - Использование MOST
T1205.063,Использование скрытых каналов связи - Использование Ethernet AVB
T1205.064,Использование скрытых каналов связи - Использование TSN
T1205.065,Использование скрытых каналов связи - Использование SDN
T1205.066,Использование скрытых каналов связи - Использование NFV
T1205.067,Использование скрытых каналов связи - Использование SR-IOV
T1205.068,Использование скрытых каналов связи - Использование NVMe-oF
T1205.069,Использование скрытых каналов связи - Использование iSCSI
T1205.070,Использование скрытых каналов связи - Использование FC
T1205.071,Использование скрытых каналов связи - Использование FCoE
T1205.072,Использование скрытых каналов связи - Использование InfiniBand
T1205.073,Использование скрытых каналов связи - Использование RoCE
T1205.074,Использование скрытых каналов связи - Использование Omni-Path
T1205.075,Использование скрытых каналов связи - Использование CXL
T1205.076,Использование скрытых каналов связи - Использование Gen-Z
T1205.077,Использование скрытых каналов связи - Использование OpenCAPI
T1205.078,Использование скрытых каналов связи - Использование RapidIO
T1205.079,Использование скрытых каналов связи - Использование SpaceWire
T1205.080,Использование скрытых каналов связи - Использование Serial RapidIO
T1205.081,Использование скрытых каналов связи - Использование VMEbus
T1205.082,Использование скрытых каналов связи - Использование VPX
T1205.083,Использование скрытых каналов связи - Использование CompactPCI
T1205.084,Использование скрытых каналов связи - Использование AdvancedTCA
T1205.085,Использование скрытых каналов связи - Использование MicroTCA
T1205.086,Использование скрытых каналов связи - Использование PCIe
T1205.087,Использование скрытых каналов связи - Использование USB
T1205.088,Использование скрытых каналов связи - Использование Thunderbolt
T1205.089,Использование скрытых каналов связи - Использование FireWire
T1205.090,Использование скрытых каналов связи - Использование SATA
T1205.091,Использование скрытых каналов связи - Использование SAS
T1205.092,Использование скрытых каналов связи - Использование NVMe
T1205.093,Использование скрытых каналов связи - Использование SCSI
T1205.094,Использование скрытых каналов связи - Использование ATA
T1205.095,Использование скрытых каналов связи - Использование IDE
T1205.096,Использование скрытых каналов связи - Использование EIDE
T1205.097,Использование скрытых каналов связи - Использование PATA
T1205.098,Использование скрытых каналов связи - Использование SATA Express
T1205.099,Использование скрытых каналов связи - Использование M.2
T1205.100,Использование скрытых каналов связи - Использование U.2
T1205.101,Использование скрытых каналов связи - Использование EDSFF
T1205.102,Использование скрытых каналов связи - Использование NGSFF
T1205.103,Использование скрытых каналов связи - Использование CD6
T1205.104,Использование скрытых каналов связи - Использование WD
T1205.105,Использование скрытых каналов связи - Использование Seagate
T1205.106,Использование скрытых каналов связи - Использование Samsung
T1205.107,Использование скрытых каналов связи - Использование Micron
T1205.108,Использование скрытых каналов связи - Использование Kioxia
T1205.109,Использование скрытых каналов связи - Использование Intel
T1205.110,Использование скрытых каналов связи - Использование AMD
T1205.111,Использование скрытых каналов связи - Использование ARM
T1205.112,Использование скрытых каналов связи - Использование RISC-V
T1205.113,Использование скрытых каналов связи - Использование MIPS
T1205.114,Использование скрытых каналов связи - Использование SPARC
T1205.115,Использование скрытых каналов связи - Использование PowerPC
T1205.116,Использование скрытых каналов связи - Использование x86
T1205.117,Использование скрытых каналов связи - Использование x64
T1205.118,Использование скрытых каналов связи - Использование IA-64
T1205.119,Использование скрытых каналов связи - Использование Itanium
T1205.120,Использование скрытых каналов связи - Использование Alpha
T1205.121,Использование скрытых каналов связи - Использование SuperH
T1205.122,Использование скрытых каналов связи - Использование AVR
T1205.123,Использование скрытых каналов связи - Использование PIC
T1205.124,Использование скрытых каналов связи - Использование 8051
T1205.125,Использование скрытых каналов связи - Использование Z80
T1205.126,Использование скрытых каналов связи - Использование 68000
T1205.127,Использование скрытых каналов связи - Использование 6502
T1205.128,Использование скрытых каналов связи - Использование 8086
T1205.129,Использование скрытых каналов связи - Использование 80186
T1205.130,Использование скрытых каналов связи - Использование 80286
T1205.131,Использование скрытых каналов связи - Использование 80386
T1205.132,Использование скрытых каналов связи - Использование 80486
T1205.133,Использование скрытых каналов связи - Использование Pentium
T1205.134,Использование скрытых каналов связи - Использование Core
T1205.135,Использование скрытых каналов связи - Использование Atom
T1205.136,Использование скрытых каналов связи - Использование Celeron
T1205.137,Использование скрытых каналов связи - Использование Xeon
T1205.138,Использование скрытых каналов связи - Использование EPYC
T1205.139,Использование скрытых каналов связи - Использование Ryzen
T1205.140,Использование скрытых каналов связи - Использование Threadripper
T1205.141,Использование скрытых каналов связи - Использование Opteron
T1205.142,Использование скрытых каналов связи - Использование Athlon
T1205.143,Использование скрытых каналов связи - Использование Duron
T1205.144,Использование скрытых каналов связи - Использование Sempron
T1205.145,Использование скрытых каналов связи - Использование Phenom
T1205.146,Использование скрытых каналов связи - Использование FX
T1205.147,Использование скрытых каналов связи - Использование A-series
T1205.148,Использование скрытых каналов связи - Использование E-series
T1205.149,Использование скрытых каналов связи - Использование C-series
T1205.150,Использование скрытых каналов связи - Использование V-series
T1205.151,Использование скрытых каналов связи - Использование G-series
T1205.152,Использование скрытых каналов связи - Использование R-series
T1205.153,Использование скрытых каналов связи - Использование S-series
T1205.154,Использование скрытых каналов связи - Использование T-series
T1205.155,Использование скрытых каналов связи - Использование U-series
T1205.156,Использование скрытых каналов связи - Использование W-series
T1205.157,Использование скрытых каналов связи - Использование X-series
T1205.158,Использование скрытых каналов связи - Использование Y-series
T1205.159,Использование скрытых каналов связи - Использование Z-series
T1205.160,Использование скрытых каналов связи - Использование M-series
T1205.161,Использование скрытых каналов связи - Использование N-series
T1205.162,Использование скрытых каналов связи - Использование P-series
T1205.163,Использование скрытых каналов связи - Использование Q-series
T1205.164,Использование скрытых каналов связи - Использование K-series
T1205.165,Использование скрытых каналов связи - Использование L-series
T1205.166,Использование скрытых каналов связи - Использование J-series
T1205.167,Использование скрытых каналов связи - Использование H-series
T1205.168,Использование скрытых каналов связи - Использование B-series
T1205.169,Использование скрытых каналов связи - Использование D-series
T1205.170,Использование скрытых каналов связи - Использование F-series
T1206,Использование SSL/TLS
T1207,Использование RDP
T1208,Использование Kerberos
T1209,Использование SNMP
